"","Country","Gender","Age","EmploymentStatus","EmployerIndustry","FormalEducation","Major","CompensationAmount","CompensationCurrency","CurrentJobTitle","TitleFit","LanguageRecommendation","DataScienceIdentity","WorkDataVisualizations","JobSatisfaction","JobSatisfaction2"
"24","United Kingdom","Female",31,"Employed full-time","Government","Doctoral degree","A social science",29000,"GBP","Data Analyst","Poorly","SQL","Sort of (Explain more)","51-75% of projects","7",7
"25","United Kingdom","Male",30,"Employed full-time","Technology","Bachelor's degree","A social science",45000,"GBP","Data Analyst","Poorly","SQL","Yes","76-99% of projects","7",7
"26","United States","Male",62,"Independent contractor, freelancer, or self-employed","Non-profit","Master's degree","Other",65000,"USD","Programmer","Fine","Python","Sort of (Explain more)","76-99% of projects","5",5
"27","France","Male",26,"Employed full-time","Government","Master's degree","A health science",25000,"EUR","Scientist/Researcher","Poorly","R","No","100% of projects","10 - Highly Satisfied",10
"28","Canada","A different identity",23,"Employed full-time","Academic","Bachelor's degree","Electrical Engineering",85000,"USD","Scientist/Researcher","Fine","Python","Yes","100% of projects","8",8
"29","India","Male",23,"Employed full-time","Technology","Master's degree","Computer Science",360000,"INR","Engineer","Fine","Python","Sort of (Explain more)","26-50% of projects","10 - Highly Satisfied",10
"30","United States","Female",31,"Employed full-time","Insurance","Master's degree","Other",92000,"USD","Scientist/Researcher","Perfectly","Python","Sort of (Explain more)","76-99% of projects","6",6
"31","United States","Male",50,"Employed full-time","Financial","Doctoral degree","Physics",305000,"USD","Scientist/Researcher","Perfectly","Python","Yes","Less than 10% of projects","9",9
"32","New Zealand","Male",30,"Employed full-time","Government","Bachelor's degree","Computer Science",90000,"NZD","Data Analyst","Fine","R","Yes","76-99% of projects","9",9
"33","Netherlands","Male",26,"Employed full-time","Financial","Master's degree","Information technology, networking, or system administration",35000,"EUR","Business Analyst","Poorly","Python","Yes","76-99% of projects","8",8
"34","United States","Male",52,"Independent contractor, freelancer, or self-employed","Other","Master's degree","Biology",140000,"USD","Scientist/Researcher","Fine","Python","Yes","100% of projects","7",7
"35","Belarus","Male",31,"Employed full-time","Mix of fields","Master's degree","Other",25000,"USD","Programmer","Fine","Python","No","10-25% of projects","6",6
"36","Czech Republic","Male",25,"Employed full-time","Mix of fields","Master's degree","Mathematics or statistics",25000,"CZK","Other","Fine","R","Yes","51-75% of projects","9",9
"37","United States","Female",28,"Employed full-time","Mix of fields","Master's degree","Electrical Engineering",80000,"USD","Engineer","Perfectly","Python","Yes","100% of projects","3",3
"38","France","Male",30,"Employed full-time","Pharmaceutical","Doctoral degree","Biology",33000,"EUR","Other","Fine","Python","Sort of (Explain more)","76-99% of projects","5",5
"39","United States","Male",26,"Employed full-time","CRM/Marketing","Bachelor's degree","Mathematics or statistics",85000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","10-25% of projects","3",3
"40","United Kingdom","Male",23,"Employed full-time","Insurance","Master's degree","Other",42500,"GBP","Data Analyst","Fine","Python","Yes","76-99% of projects","7",7
"41","United States","Male",26,"Employed full-time","Manufacturing","Master's degree","Other",80000,"USD","Other","Poorly","R","Sort of (Explain more)","Less than 10% of projects","5",5
"42","Canada","Male",52,"Employed full-time","Academic","Bachelor's degree","Computer Science",90000,"USD","Software Developer/Software Engineer","Fine","Python","No","10-25% of projects","8",8
"43","Japan","Male",48,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","Engineering (non-computer focused)",0,"JPY","Software Developer/Software Engineer","Fine","Python","Yes","None","10 - Highly Satisfied",10
"44","Russia","Male",26,"Independent contractor, freelancer, or self-employed","Military/Security","Bachelor's degree","Computer Science",60000,"RUB","Machine Learning Engineer","Poorly","Python","Yes","10-25% of projects","7",7
"45","United States","Male",52,"Employed full-time","Other","Doctoral degree","Electrical Engineering",170075,"USD","Scientist/Researcher","Fine","Python","Sort of (Explain more)","26-50% of projects","6",6
"46","Australia","Male",38,"Employed full-time","Technology","Doctoral degree","A humanities discipline",3e+05,"AUD","Software Developer/Software Engineer","Fine","Python","Yes","10-25% of projects","9",9
"47","United States","Female",25,"Employed full-time","Academic","Doctoral degree","Electrical Engineering",30000,"USD","Scientist/Researcher","Perfectly","Python","Yes","100% of projects","10 - Highly Satisfied",10
"48","Czech Republic","Male",25,"Independent contractor, freelancer, or self-employed","Internet-based","Master's degree","Computer Science",36000,"USD","Software Developer/Software Engineer","Fine","SQL","Sort of (Explain more)","10-25% of projects","6",6
"49","South Korea","Male",27,"Employed full-time","Financial","Bachelor's degree","Mathematics or statistics",4e+07,"KRW","Business Analyst","Fine","SQL","Sort of (Explain more)","10-25% of projects","3",3
"50","Other","Male",28,"Independent contractor, freelancer, or self-employed","Academic","Master's degree","Computer Science",30000,"PEN","Engineer","Fine","Python","Yes","10-25% of projects","10 - Highly Satisfied",10
"51","United States","Male",31,"Employed full-time","Academic","Doctoral degree","Physics",49000,"USD","Scientist/Researcher","Fine","Python","Yes","100% of projects","3",3
"52","Russia","Male",22,"Independent contractor, freelancer, or self-employed","Mix of fields","Bachelor's degree","Computer Science",18000,"USD","Other","Fine","Python","Yes","51-75% of projects","7",7
"53","United States","Female",31,"Employed full-time","Pharmaceutical","Bachelor's degree","Other",65000,"USD","Data Analyst","Fine","Python","No","26-50% of projects","1 - Highly Dissatisfied",1
"54","Chile","Male",30,"Employed full-time","Other","Doctoral degree","Electrical Engineering",2e+06,"CLP","Machine Learning Engineer","Fine","Python","Yes","10-25% of projects","10 - Highly Satisfied",10
"55","Mexico","Male",21,"Employed full-time","Academic","Bachelor's degree","Other",30000,"MXN","Engineer","Fine","Other","Sort of (Explain more)","10-25% of projects","6",6
"56","United States","Male",27,"Employed full-time","Other","Bachelor's degree","Mathematics or statistics",115000,"USD","Software Developer/Software Engineer","Fine","Python","Yes","Less than 10% of projects","7",7
"57","United States","Male",57,"Independent contractor, freelancer, or self-employed","Mix of fields","Master's degree","Other",40000,"USD","Predictive Modeler","Poorly","R","Sort of (Explain more)","51-75% of projects","9",9
"58","United States","A different identity",37,"Employed full-time","Technology","Master's degree","Computer Science",135000,"USD","Software Developer/Software Engineer","Fine","C/C++/C#","Yes","100% of projects","6",6
"59","United States","Female",25,"Employed full-time","Academic","Master's degree","Mathematics or statistics",50000,"USD","Data Analyst","Perfectly","Python","No","76-99% of projects","6",6
"60","United States","Male",29,"Employed full-time","Financial","Bachelor's degree","Computer Science",470000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","100% of projects","10 - Highly Satisfied",10
"61","Italy","Male",32,"Employed full-time","Other","Master's degree","Mathematics or statistics",40000,"EUR","Other","Fine","Matlab","Yes","76-99% of projects","4",4
"62","France","Male",53,"Independent contractor, freelancer, or self-employed","Pharmaceutical","Master's degree","Mathematics or statistics",60000,"EUR","Statistician","Fine","R","No","76-99% of projects","10 - Highly Satisfied",10
"63","United Kingdom","Male",31,"Employed full-time","Academic","Master's degree","Computer Science",31000,"GBP","Scientist/Researcher","Poorly","Python","Sort of (Explain more)","76-99% of projects","8",8
"64","Ukraine","Male",22,"Employed full-time","Financial","Master's degree","Mathematics or statistics",17200,"USD","Data Analyst","Fine","Python","No","10-25% of projects","3",3
"65","Portugal","Male",29,"Employed full-time","Academic","Doctoral degree","Computer Science",12000,"EUR","Scientist/Researcher","Fine","Python","Yes","10-25% of projects","7",7
"66","United States","Female",48,"Employed full-time","Mix of fields","Master's degree","Engineering (non-computer focused)",130000,"USD","Predictive Modeler","Fine","Python","Yes","Less than 10% of projects","6",6
"67","United States","Male",47,"Employed full-time","Technology","Bachelor's degree","Computer Science",178000,"USD","Other","Fine","Python","No","10-25% of projects","9",9
"68","Brazil","Male",24,"Employed part-time","Mix of fields","Bachelor's degree","Engineering (non-computer focused)",24000,"BRL","Engineer","Fine","Python","Sort of (Explain more)","100% of projects","7",7
"69","United States","Male",40,"Employed full-time","Technology","Doctoral degree","Computer Science",150000,"USD","DBA/Database Engineer","Fine","Python","No","10-25% of projects","6",6
"70","Argentina","Male",25,"Employed full-time","Technology","Bachelor's degree","Computer Science",24000,"ARS","Computer Scientist","Fine","Python","Yes","100% of projects","10 - Highly Satisfied",10
"71","United States","Male",25,"Employed full-time","Technology","Master's degree","Biology",85000,"USD","Other","Perfectly","Python","Yes","51-75% of projects","9",9
"72","United States","Male",56,"Employed full-time","Manufacturing","Bachelor's degree","Engineering (non-computer focused)",107000,"USD","Business Analyst","Poorly","Python","No","26-50% of projects","1 - Highly Dissatisfied",1
"73","Hong Kong","Male",36,"Employed full-time","Financial","Doctoral degree","Computer Science",6e+05,"HKD","Predictive Modeler","Fine","Python","No","76-99% of projects","5",5
"74","United States","Male",24,"Employed full-time","Military/Security","Bachelor's degree","Electrical Engineering",67500,"USD","Engineer","Fine","Matlab","Yes","26-50% of projects","7",7
"75","Canada","Male",24,"Employed full-time","Mix of fields","Bachelor's degree","A social science",75000,"CAD","Business Analyst","Fine","Python","Sort of (Explain more)","100% of projects","6",6
"76","India","Male",47,"Independent contractor, freelancer, or self-employed","Academic","Doctoral degree","Mathematics or statistics",1200000,"INR","Statistician","Fine","R","Yes","10-25% of projects","5",5
"77","United Kingdom","Male",24,"Employed full-time","Technology","Master's degree","Electrical Engineering",42000,"GBP","Data Analyst","Fine","Python","Sort of (Explain more)","51-75% of projects","6",6
"78","United States","Male",23,"Employed full-time","Financial","Bachelor's degree","Other",58000,"USD","Data Analyst","Fine","Python","Yes","76-99% of projects","4",4
"79","United States","Male",23,"Employed full-time","Mix of fields","Bachelor's degree","Computer Science",1e+05,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","51-75% of projects","7",7
"80","Other","Male",25,"Employed full-time","Internet-based","Bachelor's degree","Engineering (non-computer focused)",25000,"USD","Business Analyst","Fine","Python","Yes","10-25% of projects","8",8
"81","United States","Male",35,"Employed full-time","Technology","Master's degree","Computer Science",60000,"USD","Other","Fine","Python","No","100% of projects","8",8
"82","People 's Republic of China","Male",28,"Employed full-time","Pharmaceutical","Master's degree","A health science",180000,"CNY","Data Analyst","Fine","R","Yes","100% of projects","3",3
"83","United States","Female",27,"Employed full-time","Technology","Doctoral degree","A social science",75000,"AMD","Data Analyst","Fine","R","Sort of (Explain more)","Less than 10% of projects","10 - Highly Satisfied",10
"84","United States","Male",40,"Employed full-time","Financial","Master's degree","Physics",125000,"USD","Software Developer/Software Engineer","Fine","Scala","No","26-50% of projects","3",3
"85","Portugal","Male",27,"Employed full-time","Manufacturing","Master's degree","Computer Science",17000,"EUR","Programmer","Perfectly","R","Yes","76-99% of projects","4",4
"86","United States","Male",36,"Employed full-time","Internet-based","Master's degree","A humanities discipline",70000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","51-75% of projects","4",4
"87","People 's Republic of China","Male",28,"Employed full-time","Technology","Bachelor's degree","Computer Science",3e+05,"CNY","DBA/Database Engineer","Fine","Python","Yes","51-75% of projects","4",4
"88","Brazil","Male",26,"Employed full-time","Technology","Bachelor's degree","Computer Science",24000,"BRL","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","100% of projects","4",4
"89","Russia","Male",30,"Employed full-time","Technology","Doctoral degree","Mathematics or statistics",65000,"USD","Machine Learning Engineer","Perfectly","Python","Yes","26-50% of projects","10 - Highly Satisfied",10
"90","United States","Male",26,"Employed full-time","Other","Bachelor's degree","A humanities discipline",35000,"USD","Business Analyst","Fine","Python","Sort of (Explain more)","76-99% of projects","6",6
"91","United States","Male",28,"Employed full-time","Pharmaceutical","Doctoral degree","Physics",121000,"USD","Scientist/Researcher","Perfectly","Python","Yes","26-50% of projects","8",8
"92","South Korea","Male",53,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",80000,"USD","Researcher","Fine","Python","Yes","Less than 10% of projects","8",8
"93","Australia","Male",36,"Employed full-time","Other","Bachelor's degree","Information technology, networking, or system administration",150000,"AUD","Business Analyst","Fine","Python","No","26-50% of projects","8",8
"94","Canada","Male",60,"Employed full-time","Academic","Doctoral degree","Computer Science",2e+05,"CAD","Researcher","Fine","R","Yes","None","10 - Highly Satisfied",10
"95","Australia","Female",23,"Employed full-time","Financial","Bachelor's degree","Other",78000,"AUD","Data Analyst","Poorly","SQL","No","Less than 10% of projects","2",2
"96","Colombia","Male",29,"Employed full-time","Financial","Master's degree","Mathematics or statistics",8e+07,"COP","Data Analyst","Fine","R","No","76-99% of projects","8",8
"97","Japan","Male",37,"Employed full-time","Manufacturing","Master's degree","Engineering (non-computer focused)",8e+06,"JPY","Software Developer/Software Engineer","Fine","Python","No","100% of projects","7",7
"98","United States","Male",41,"Employed full-time","Mix of fields","Master's degree","Electrical Engineering",80000,"USD","Software Developer/Software Engineer","Poorly","Python","Sort of (Explain more)","10-25% of projects","7",7
"99","Taiwan","Male",30,"Employed full-time","Government","Bachelor's degree","Management information systems",8e+05,"TWD","Other","Fine","Python","No","Less than 10% of projects","4",4
"100","United States","Female",42,"Employed full-time","Telecommunications","Bachelor's degree","A humanities discipline",75000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","None","1 - Highly Dissatisfied",1
"101","Other","Male",27,"Employed full-time","Internet-based","Bachelor's degree","Computer Science",50000,"USD","Machine Learning Engineer","Fine","Python","Yes","76-99% of projects","8",8
"102","United States","Male",47,"Employed full-time","Internet-based","Bachelor's degree","Other",165000,"USD","Software Developer/Software Engineer","Fine","Scala","Sort of (Explain more)","Less than 10% of projects","3",3
"103","United States","Male",28,"Employed full-time","Government","Master's degree","Fine arts or performing arts",85000,"USD","Business Analyst","Fine","Python","Sort of (Explain more)","100% of projects","7",7
"104","Ireland","Male",42,"Employed full-time","Retail","Master's degree","Engineering (non-computer focused)",1e+05,"EUR","DBA/Database Engineer","Perfectly","SQL","No","100% of projects","7",7
"105","United States","Male",41,"Employed full-time","Internet-based","Master's degree","Psychology",2e+05,"USD","Other","Fine","Python","Yes","Less than 10% of projects","9",9
"106","United States","Female",43,"Employed full-time","Insurance","Bachelor's degree","A social science",80000,"USD","Data Analyst","Fine","SQL","No","Less than 10% of projects","8",8
"107","New Zealand","Male",28,"Independent contractor, freelancer, or self-employed","Technology","Bachelor's degree","A health science",80000,"NZD","Machine Learning Engineer","Fine","Python","No","26-50% of projects","7",7
"108","Canada","Male",23,"Employed full-time","Insurance","Bachelor's degree","Mathematics or statistics",70000,"CAD","Other","Fine","Python","Sort of (Explain more)","100% of projects","10 - Highly Satisfied",10
"109","United States","Male",25,"Employed full-time","Technology","Master's degree","Computer Science",95000,"USD","Computer Scientist","Fine","Python","No","51-75% of projects","9",9
"110","United States","Male",32,"Employed part-time","Academic","Doctoral degree","Physics",47000,"USD","Scientist/Researcher","Perfectly","Python","No","51-75% of projects","8",8
"111","United States","Male",37,"Employed full-time","Financial","Doctoral degree","Mathematics or statistics",255000,"USD","Other","Fine","Python","Yes","100% of projects","1 - Highly Dissatisfied",1
"112","United States","Male",29,"Employed full-time","Government","Master's degree","Mathematics or statistics",90000,"USD","Operations Research Practitioner","Fine","Python","Yes","76-99% of projects","5",5
"113","United States","Male",32,"Employed full-time","Government","Master's degree","Information technology, networking, or system administration",80000,"USD","Operations Research Practitioner","Perfectly","Python","Sort of (Explain more)","51-75% of projects","9",9
"114","Malaysia","Male",27,"Employed full-time","Government","Bachelor's degree","Other",3200,"MYR","Other","Fine","SQL","Sort of (Explain more)","51-75% of projects","7",7
"115","Colombia","Male",30,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Computer Science",3.6e+07,"COP","Machine Learning Engineer","Fine","Python","Yes","26-50% of projects","7",7
"116","Hong Kong","Male",28,"Employed full-time","Technology","Bachelor's degree","Mathematics or statistics",208000,"HKD","Machine Learning Engineer","Fine","Python","Yes","10-25% of projects","3",3
"117","People 's Republic of China","Male",31,"Employed full-time","Technology","Bachelor's degree","Computer Science",250000,"CNY","Machine Learning Engineer","Fine","Python","No","76-99% of projects","7",7
"118","United States","Male",31,"Employed full-time","Technology","Master's degree","A humanities discipline",190000,"USD","Business Analyst","Poorly","R","Sort of (Explain more)","51-75% of projects","9",9
"119","Malaysia","Male",34,"Employed full-time","Technology","Bachelor's degree","Electrical Engineering",77000,"USD","Other","Fine","Python","Sort of (Explain more)","None","2",2
"120","United States","Male",25,"Employed full-time","Academic","Master's degree","Computer Science",20000,"USD","Scientist/Researcher","Fine","Matlab","No","10-25% of projects","8",8
"121","United States","Male",50,"Employed full-time","Technology","Bachelor's degree","Mathematics or statistics",220000,"USD","Software Developer/Software Engineer","Fine","C/C++/C#","Sort of (Explain more)","76-99% of projects","9",9
"122","Vietnam","Male",22,"Employed full-time","Technology","Bachelor's degree","Computer Science",1e+07,"VND","Data Analyst","Poorly","Python","Yes","76-99% of projects","5",5
"123","United States","Male",31,"Employed full-time","Government","Master's degree","Mathematics or statistics",105000,"USD","Statistician","Fine","R","No","76-99% of projects","5",5
"124","United States","Male",34,"Employed full-time","Government","Master's degree","Engineering (non-computer focused)",79000,"USD","Operations Research Practitioner","Fine","R","Yes","26-50% of projects","8",8
"125","Other","Male",53,"Employed full-time","Manufacturing","Master's degree","Engineering (non-computer focused)",175000,"USD","Business Analyst","Fine","Python","Yes","76-99% of projects","6",6
"126","United States","A different identity",45,"Employed part-time","Academic","Master's degree","Other",20000,"USD","Scientist/Researcher","Fine","R","Yes","76-99% of projects","7",7
"127","India","Male",25,"Employed full-time","Technology","Bachelor's degree","Engineering (non-computer focused)",475000,"INR","Machine Learning Engineer","Fine","R","Sort of (Explain more)","26-50% of projects","3",3
"128","Brazil","Male",31,"Employed full-time","Retail","Master's degree","Computer Science",1e+05,"BRL","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","76-99% of projects","8",8
"129","Russia","Male",28,"Employed full-time","Manufacturing","Doctoral degree","Other",484000,"RUB","Computer Scientist","Fine","C/C++/C#","Sort of (Explain more)","26-50% of projects","6",6
"130","Taiwan","Female",28,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","A social science",1100000,"TWD","Researcher","Perfectly","Python","Sort of (Explain more)","10-25% of projects","8",8
"131","Japan","Male",42,"Employed full-time","Technology","Bachelor's degree","Other",6500000,"JPY","Other","Fine","Python","Sort of (Explain more)","10-25% of projects","8",8
"132","Brazil","Male",31,"Employed full-time","Academic","Master's degree","Computer Science",80000,"BRL","Scientist/Researcher","Fine","Python","Sort of (Explain more)","Less than 10% of projects","6",6
"133","Taiwan","Male",26,"Employed full-time","Government","Master's degree","Computer Science",648000,"TWD","Programmer","Poorly","Python","Yes","None","4",4
"134","India","Male",24,"Employed full-time","Retail","Some college/university study without earning a bachelor's degree","Computer Science",2200000,"INR","Software Developer/Software Engineer","Perfectly","R","Sort of (Explain more)","51-75% of projects","5",5
"135","United States","Male",30,"Employed full-time","Academic","Master's degree","Computer Science",38000,"USD","Computer Scientist","Fine","Python","Sort of (Explain more)","Less than 10% of projects","6",6
"136","Japan","Male",33,"Employed full-time","Technology","Master's degree","Physics",7e+06,"JPY","Data Analyst","Fine","Other","Yes","10-25% of projects","3",3
"137","United States","Female",38,"Employed full-time","Government","Master's degree","Computer Science",65000,"USD","DBA/Database Engineer","Fine","SAS","Yes","51-75% of projects","5",5
"138","Philippines","Male",23,"Employed full-time","Other","Bachelor's degree","Computer Science",55000,"PHP","Data Analyst","Perfectly","Python","Sort of (Explain more)","26-50% of projects","4",4
"139","United States","Male",30,"Employed full-time","Government","Master's degree","A social science",65000,"USD","Other","Poorly","SQL","Yes","10-25% of projects","8",8
"140","Indonesia","Male",27,"Employed full-time","Internet-based","Bachelor's degree","Information technology, networking, or system administration",0,"IDR","Other","Fine","Python","Sort of (Explain more)","51-75% of projects","7",7
"141","People 's Republic of China","Male",29,"Employed full-time","Technology","Master's degree","Electrical Engineering",3e+05,"CNY","Machine Learning Engineer","Fine","Python","Yes","76-99% of projects","5",5
"142","Australia","Female",38,"Employed full-time","Academic","Master's degree","Information technology, networking, or system administration",27000,"AUD","Researcher","Fine","Python","Yes","100% of projects","8",8
"143","Russia","Male",44,"Employed full-time","Telecommunications","Master's degree","Mathematics or statistics",7e+05,"RUB","Data Analyst","Poorly","Python","Yes","Less than 10% of projects","6",6
"144","United States","Male",23,"Employed full-time","Other","Bachelor's degree","Mathematics or statistics",71500,"USD","Other","Fine","Python","No","76-99% of projects","3",3
"145","United States","Male",37,"Employed full-time","CRM/Marketing","Bachelor's degree","Computer Science",180000,"USD","Software Developer/Software Engineer","Perfectly","Python","Yes","None","9",9
"146","United States","Male",39,"Employed full-time","Financial","Bachelor's degree","Computer Science",115000,"USD","Other","Fine","R","Sort of (Explain more)","10-25% of projects","3",3
"147","United States","Male",25,"Employed full-time","Academic","Master's degree","Mathematics or statistics",20000,"USD","Machine Learning Engineer","Fine","R","Yes","100% of projects","7",7
"148","United States","Male",33,"Employed full-time","Pharmaceutical","Bachelor's degree","Computer Science",107000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","100% of projects","9",9
"149","United States","Male",49,"Employed full-time","Other","Doctoral degree","A health science",125000,"USD","Scientist/Researcher","Fine","R","Sort of (Explain more)","26-50% of projects","8",8
"150","Australia","Male",35,"Employed full-time","Internet-based","Bachelor's degree","Computer Science",116000,"AUD","Software Developer/Software Engineer","Perfectly","Python","No","Less than 10% of projects","7",7
"151","Australia","Female",48,"Independent contractor, freelancer, or self-employed","Government","Master's degree","A humanities discipline",250000,"AUD","Data Analyst","Poorly","R","No","26-50% of projects","5",5
"152","United States","Male",31,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","Electrical Engineering",67000,"USD","DBA/Database Engineer","Fine","Python","Sort of (Explain more)","76-99% of projects","4",4
"153","Switzerland","Male",27,"Independent contractor, freelancer, or self-employed","Mix of fields","Bachelor's degree","Psychology",85000,"USD","Data Analyst","Fine","R","Sort of (Explain more)","76-99% of projects","9",9
"154","India","Male",35,"Employed full-time","Technology","Bachelor's degree","Computer Science",1500000,"INR","Researcher","Fine","Python","Yes","10-25% of projects","6",6
"155","India","Female",30,"Employed full-time","Technology","Bachelor's degree","Management information systems",3e+06,"INR","Other","Poorly","R","No","100% of projects","3",3
"156","People 's Republic of China","Male",29,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","Engineering (non-computer focused)",180000,"CNY","Business Analyst","Fine","Python","Yes","76-99% of projects","5",5
"157","India","Male",34,"Employed full-time","Government","Master's degree","Computer Science",1e+05,"INR","Computer Scientist","Fine","R","Yes","Less than 10% of projects","10 - Highly Satisfied",10
"158","Argentina","Male",50,"Employed full-time","Other","Some college/university study without earning a bachelor's degree","Information technology, networking, or system administration",45000,"USD","Business Analyst","Fine","R","Sort of (Explain more)","51-75% of projects","10 - Highly Satisfied",10
"159","Philippines","Female",19,"Employed part-time","Technology","Bachelor's degree","Information technology, networking, or system administration",11000,"PHP","Data Analyst","Fine","R","Sort of (Explain more)","26-50% of projects","6",6
"160","Taiwan","Male",38,"Employed full-time","Academic","Doctoral degree","Management information systems",27000,"USD","Scientist/Researcher","Fine","Python","Yes","100% of projects","8",8
"161","India","Male",22,"Employed full-time","Technology","Bachelor's degree","Computer Science",420000,"INR","Software Developer/Software Engineer","Fine","Python","No","51-75% of projects","5",5
"162","Indonesia","Male",48,"Employed full-time","Technology","Master's degree","Information technology, networking, or system administration",2.5e+08,"IDR","DBA/Database Engineer","Perfectly","Python","Yes","10-25% of projects","8",8
"163","United States","Female",32,"Employed full-time","Technology","Doctoral degree","Computer Science",305000,"USD","Machine Learning Engineer","Fine","Python","Sort of (Explain more)","10-25% of projects","7",7
"164","India","Male",25,"Employed full-time","Technology","Master's degree","Computer Science",470000,"INR","Other","Fine","R","Sort of (Explain more)","Less than 10% of projects","8",8
